dataset,task,n_components,quantum,classical,qsvm_f1_macro_mean,classical_f1_macro_mean,delta_classical_minus_qsvm,ttest_statistic,ttest_pvalue,wilcoxon_statistic,wilcoxon_pvalue,ttest_significant_at_05
ember-2018,binary,3,qsvm-iqp,random_forest,0.5083580434639654,0.6574827217845197,0.14912467832055432,-4.568106412901961,0.010275514602434688,0.0,0.0625,True
ember-2018,binary,3,qsvm-iqp,xgboost,0.5083580434639654,0.6465250284398584,0.13816698497589297,-4.366112796931905,0.012004533904589538,0.0,0.0625,True
ember-2018,binary,3,qsvm-iqp,lightgbm,0.5083580434639654,0.6433515549708316,0.13499351150686623,-10.355675084738797,0.0004908065787036099,0.0,0.0625,True
ember-2018,binary,3,qsvm-iqp,svm,0.5083580434639654,0.6305534481296396,0.12219540466567425,-11.720943977330387,0.000303050093702968,0.0,0.0625,True
ember-2018,binary,6,qsvm-angle,random_forest,0.5137703485856953,0.6834706145293937,0.16970026594369847,-5.062705954221677,0.00716693368667859,0.0,0.0625,True
ember-2018,binary,6,qsvm-angle,xgboost,0.5137703485856953,0.6680491149670307,0.15427876638133542,-7.205703091587945,0.001966273044127589,0.0,0.0625,True
ember-2018,binary,6,qsvm-angle,lightgbm,0.5137703485856953,0.6593205587149195,0.1455502101292242,-4.49128295841671,0.010895087402388502,0.0,0.0625,True
ember-2018,binary,6,qsvm-angle,svm,0.5137703485856953,0.6724286391079743,0.1586582905222791,-8.38670773622799,0.001105868737370201,0.0,0.0625,True
ember-2018,binary,6,qsvm-iqp,random_forest,0.5136751583392752,0.6834706145293937,0.1697954561901185,-4.277566821886121,0.012872500312921645,0.0,0.0625,True
ember-2018,binary,6,qsvm-iqp,xgboost,0.5136751583392752,0.6680491149670307,0.15437395662775544,-5.27620131152711,0.006186056092553045,0.0,0.0625,True
ember-2018,binary,6,qsvm-iqp,lightgbm,0.5136751583392752,0.6593205587149195,0.14564540037564422,-3.620970394032057,0.02233796056100245,0.0,0.0625,True
ember-2018,binary,6,qsvm-iqp,svm,0.5136751583392752,0.6724286391079743,0.1587534807686991,-5.54855588759707,0.005161640685989883,0.0,0.0625,True
ember-2018,multiclass,1,qsvm-angle,random_forest,0.1687874423062498,0.5561907822699944,0.3874033399637446,-81.36619383344954,1.367533731500073e-07,0.0,0.0625,True
ember-2018,multiclass,1,qsvm-angle,xgboost,0.1687874423062498,0.5312993318673407,0.36251188956109087,-22.937668927663584,2.1402827017361395e-05,0.0,0.0625,True
ember-2018,multiclass,1,qsvm-angle,lightgbm,0.1687874423062498,0.5410497296181371,0.3722622873118873,-21.546870068101306,2.744124518179682e-05,0.0,0.0625,True
